,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
186,"Can We Kiss Forever?",Kina,654189,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
187,"One More Sleep","Leona Lewis",649706,https://open.spotify.com/track/78pn8k7RogKo2oxl0DyX6d
188,"Who Needs Love","Trippie Redd",647849,https://open.spotify.com/track/2ktxr00GpTtbMNeBjNeY8D
189,"Hasta Que Salga el Sol",Ozuna,644600,https://open.spotify.com/track/0dDboLfmRNsTBscy4j3Rnl
190,"Christmas (Baby Please Come Home)","Darlene Love",644561,https://open.spotify.com/track/0jiPKUSdsJNCxMPHjMqptk
191,Lover,"Taylor Swift",643893,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
192,"If the World Was Ending - feat. Julia Michaels","JP Saxe",641425,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
193,"Better Now","Post Malone",640668,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
194,Youngblood,"5 Seconds of Summer",635662,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
195,"all the good girls go to hell","Billie Eilish",634557,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
196,"White Christmas (with Shania Twain)","Michael Bublé",634192,https://open.spotify.com/track/2gbCG4Rt9984UZ7Tc0dIFd
197,"Post Malone (feat. RANI)","Sam Feldt",631402,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
198,"Turn Me On (feat. Vula)",Riton,630535,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9
199,"Let Me Down Slowly","Alec Benjamin",629658,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
200,Trigger,"Major Lazer",627551,https://open.spotify.com/track/0Z26mbSHJ1dkUu7g9DDgif
